protein_id	family	final_decision_class_b7	final_priority_b7	primary_reference	primary_reference_type	chainaware_reference_mode	pdb_target	afsp_target	qtm_score	rmsd	query_pocket_n	reference_pocket_n	query_conserved_n	reference_conserved_n	query_conservation_fraction	reference_conservation_fraction	query_unique_n	query_no_alignment_n	query_pocket_plddt_mean	pfam_names	pfam_accs	kofam_ko_ids	annotation_flags	tier1_confidence	left_class	right_class	rulebook_pre_flags	rulebook_initial_class	rulebook_rule_id	rulebook_reason	recommended_next_module	manual_review_required	manual_review_reason	section8_auto_evidence_class	section8_auto_priority	section8_auto_reason	section8_positive_ligands	section8_nonbiological_ligands	section8_context_manual_ligands	section8_recommended_action	section8_refined_evidence_class	section8_refined_priority	section8_refinement_source	section8_refinement_reason
T1P022	UbiD	MODERATE_REVIEW	MEDIUM	2idb-assembly1_A-2	PDB_TOP1	PDB_CHAIN_SPECIFIC	5m1d-assembly1_B	AF-B4RN63-F1-model_v6	0.854	0.969	32	24	18	18	0.5625	0.75	12	2	87.0	UbiD;UbiD_C;UbiD_N	PF01977.21;PF20695.2;PF20696.2	K03182	Pfam_support;KOfam_support;DRAMV_record	YÜKSEK_DOĞRULANMIŞ	viral_like	hallmark	MODERATE_QUERY_POCKET_CONSERVATION;PDB_REFERENCE_AVAILABLE	MODERATE_PDB_REFERENCE_LIGAND_SCAN_NEEDED	R09_OR_R11_PENDING	Moderate pocket conservation with PDB reference; ligand scan may identify biological or non-biological HETATM context.	PDB_LIGAND_CONTACT_SCAN	NO		NONBIOLOGICAL_HETATM_NO_UPGRADE	MEDIUM_OR_LOW_DEPENDING_ON_B7	HETATM contacts exist, but they are interpreted as non-biological support, solvent, crystallization additives, modified residues, or unknown atoms.		1PE;MSE		Do not upgrade based on HETATM contact; retain B7/pocket-based cautious class.	NONBIOLOGICAL_HETATM_NO_UPGRADE	MEDIUM_OR_LOW_DEPENDING_ON_B7	AUTO_CLASS_ONLY	No additional refinement module applied.
T1P023	MTTB	MODERATE_REVIEW	MEDIUM	7xcn-assembly1_D	PDB_TOP1	PDB_CHAIN_SPECIFIC	7xcn-assembly1_D	AF-Q24SP7-F1-model_v6	0.856	1.392	15	8	4	4	0.2667	0.5	5	6	94.74	MTTB	PF06253.16	K14083	Pfam_support;KOfam_support;DRAMV_record	YÜKSEK_DOĞRULANMIŞ	no_hit	hallmark	LOW_QUERY_POCKET_CONSERVATION;PDB_REFERENCE_AVAILABLE	LOW_POCKET_PDB_REFERENCE_CAUTION	R09_OR_R11_OR_MANUAL_PENDING	Low pocket conservation with PDB reference; ligand scan may be informative, but no automatic upgrade should occur without strong evidence.	PDB_LIGAND_CONTACT_SCAN_CAUTION	YES	Low pocket conservation; any ligand/contact signal must be manually interpreted.	MODERATE_REVIEW_NO_LIGAND_CONTACT	MEDIUM	Moderate/partial pocket support exists, but no ligand/contact support was detected.				Keep as moderate; do not claim ligand-supported functional pocket.	MODERATE_REVIEW_NO_LIGAND_CONTACT	MEDIUM	AUTO_CLASS_ONLY	No additional refinement module applied.
T1P024	MTTB	MODERATE_REVIEW	MEDIUM	7xcn-assembly1_D	PDB_TOP1	PDB_CHAIN_SPECIFIC	7xcn-assembly1_D	AF-Q24SP7-F1-model_v6	0.856	1.392	15	8	4	4	0.2667	0.5	5	6	94.74	MTTB	PF06253.16	K14083	Pfam_support;KOfam_support;DRAMV_record	YÜKSEK_DOĞRULANMIŞ	no_hit	hallmark	LOW_QUERY_POCKET_CONSERVATION;PDB_REFERENCE_AVAILABLE	LOW_POCKET_PDB_REFERENCE_CAUTION	R09_OR_R11_OR_MANUAL_PENDING	Low pocket conservation with PDB reference; ligand scan may be informative, but no automatic upgrade should occur without strong evidence.	PDB_LIGAND_CONTACT_SCAN_CAUTION	YES	Low pocket conservation; any ligand/contact signal must be manually interpreted.	MODERATE_REVIEW_NO_LIGAND_CONTACT	MEDIUM	Moderate/partial pocket support exists, but no ligand/contact support was detected.				Keep as moderate; do not claim ligand-supported functional pocket.	MODERATE_REVIEW_NO_LIGAND_CONTACT	MEDIUM	AUTO_CLASS_ONLY	No additional refinement module applied.
T1P025	Molybdopterin	MODERATE_REVIEW	MEDIUM	2jip-assembly1_A	PDB_TOP1	PDB_CHAIN_SPECIFIC	2jip-assembly1_A	AF-P73448-F1-model_v6	0.892	1.425	40	53	34	34	0.85	0.6415	2	4	93.94	Molybdop_Fe4S4;Molybdopterin;Molydop_binding	PF00384.27;PF01568.26;PF04879.21		Pfam_support;DRAMV_record;PHROG_record	YÜKSEK_DOĞRULANMIŞ	hallmark	viral_uncharacterized	STRONG_QUERY_POCKET_CONSERVATION;PDB_REFERENCE_AVAILABLE	PDB_REFERENCE_STRONG_OR_MODERATE_POCKET_SCAN_NEEDED	R04_OR_R05_OR_R06_PENDING	PDB reference available with strong pocket conservation, but B7 class is not STRONG_ADVANCE; ligand scan and cautious interpretation required.	PDB_LIGAND_CONTACT_SCAN	NO		PDB_COFACTOR_METAL_SUPPORTED_STRUCTURAL_POCKET	HIGH	Biologically interpretable cofactor/metal components contact the P2Rank reference pocket and query pocket conservation is sufficient.	MGD;MO;SF4	UNX		Advance as PDB-cofactor/metal-supported structural-pocket candidate; do not claim experimental activity.	PDB_COFACTOR_METAL_SUPPORTED_STRUCTURAL_POCKET	HIGH	AUTO_CLASS_ONLY	No additional refinement module applied.
T1P026	Molybdopterin	MODERATE_REVIEW	MEDIUM	2jiq-assembly1_A	PDB_TOP1	PDB_CHAIN_SPECIFIC	2jiq-assembly1_A	AF-P73448-F1-model_v6	0.891	1.457	36	51	30	30	0.8333	0.5882	2	4	94.05	Molybdop_Fe4S4;Molybdopterin;Molydop_binding	PF00384.27;PF01568.26;PF04879.21		Pfam_support;DRAMV_record;PHROG_record	YÜKSEK_DOĞRULANMIŞ	viral_uncharacterized	hallmark	STRONG_QUERY_POCKET_CONSERVATION;PDB_REFERENCE_AVAILABLE	PDB_REFERENCE_STRONG_OR_MODERATE_POCKET_SCAN_NEEDED	R04_OR_R05_OR_R06_PENDING	PDB reference available with strong pocket conservation, but B7 class is not STRONG_ADVANCE; ligand scan and cautious interpretation required.	PDB_LIGAND_CONTACT_SCAN	NO		PDB_COFACTOR_METAL_SUPPORTED_STRUCTURAL_POCKET	HIGH	Biologically interpretable cofactor/metal components contact the P2Rank reference pocket and query pocket conservation is sufficient.	MGD;MO;SF4	UNX	NO2	Advance as PDB-cofactor/metal-supported structural-pocket candidate; do not claim experimental activity.	PDB_COFACTOR_METAL_SUPPORTED_STRUCTURAL_POCKET	HIGH	AUTO_CLASS_ONLY	No additional refinement module applied.
T1P027	Aminotran_1_2	MODERATE_REVIEW	MEDIUM	2ay6-assembly1_A	PDB_TOP1	PDB_CHAIN_SPECIFIC	2ay6-assembly1_A	AF-P95468-F1-model_v6	0.975	1.096	21	27	18	18	0.8571	0.6667	2	1	94.46	Aminotran_1_2	PF00155.26		Pfam_support;DRAMV_record;PHROG_record	YÜKSEK_DOĞRULANMIŞ	hallmark	viral_uncharacterized	STRONG_QUERY_POCKET_CONSERVATION;PDB_REFERENCE_AVAILABLE	PDB_REFERENCE_STRONG_OR_MODERATE_POCKET_SCAN_NEEDED	R04_OR_R05_OR_R06_PENDING	PDB reference available with strong pocket conservation, but B7 class is not STRONG_ADVANCE; ligand scan and cautious interpretation required.	PDB_LIGAND_CONTACT_SCAN	NO		PDB_PLP_SUPPORTED_STRUCTURAL_POCKET	HIGH	PLP/LLP-related biological cofactor contact supports the reference pocket with sufficient query pocket conservation.	PLP			Advance as PDB-PLP-supported structural-pocket candidate; do not claim experimental activity.	PDB_PLP_SUPPORTED_STRUCTURAL_POCKET	HIGH	AUTO_CLASS_ONLY	No additional refinement module applied.
T1P028	Aminotran_1_2	SPECIAL_CASE_MANUAL	MANUAL_REVIEW	8bj2-assembly1_B	PDB_TOP1	PDB_CHAIN_SPECIFIC	9jfb-assembly1_A	AF-P21633-F1-model_v6	0.801	1.677	0	17	0	0		0.0	0	0		Aminotran_1_2	PF00155.26		Pfam_support;DRAMV_record	YÜKSEK_DOĞRULANMIŞ	hallmark	no_hit	NO_QUERY_POCKET;PDB_REFERENCE_AVAILABLE	SPECIAL_CASE_NO_QUERY_POCKET	R01	Query pocket is absent under default P2Rank; reference ligand/cofactor context cannot be used as query pocket support.	REFERENCE_ONLY_CONTEXT_CHECK	YES	Query pocket absent; inspect reference-only context manually if biologically important.	SPECIAL_CASE_NO_QUERY_POCKET_REFERENCE_ONLY	MANUAL_REVIEW	Query pocket is absent; any reference ligand/cofactor signal is reference-only.				Inspect manually only if reference context is biologically important; do not claim query pocket support.	SPECIAL_CASE_NO_QUERY_POCKET_REFERENCE_ONLY	MANUAL_REVIEW	AUTO_CLASS_ONLY	No additional refinement module applied.
T1P029	PGM_PMM_I	MODERATE_REVIEW	MEDIUM	1tuo-assembly1_A	PDB_TOP1	PDB_CHAIN_SPECIFIC	1tuo-assembly1_A	AF-P47299-F1-model_v6	0.872	1.105	27	21	16	16	0.5926	0.7619	7	4	89.52	PGM_PMM_I;PGM_PMM_II;PGM_PMM_III;PGM_PMM_IV	PF00408.25;PF02878.21;PF02879.21;PF02880.21		Pfam_support;DRAMV_record;PHROG_record	YÜKSEK_DOĞRULANMIŞ	viral_like	hallmark	MODERATE_QUERY_POCKET_CONSERVATION;PDB_REFERENCE_AVAILABLE	MODERATE_PDB_REFERENCE_LIGAND_SCAN_NEEDED	R09_OR_R11_PENDING	Moderate pocket conservation with PDB reference; ligand scan may identify biological or non-biological HETATM context.	PDB_LIGAND_CONTACT_SCAN	NO		MODERATE_REVIEW_NO_LIGAND_CONTACT	MEDIUM	Moderate/partial pocket support exists, but no ligand/contact support was detected.				Keep as moderate; do not claim ligand-supported functional pocket.	MODERATE_REVIEW_NO_LIGAND_CONTACT	MEDIUM	AUTO_CLASS_ONLY	No additional refinement module applied.
T1P030	PGM_PMM_I	MODERATE_REVIEW	MEDIUM	1tuo-assembly1_A	PDB_TOP1	PDB_CHAIN_SPECIFIC	1tuo-assembly1_A	AF-P47299-F1-model_v6	0.872	1.105	27	21	16	16	0.5926	0.7619	7	4	89.52	PGM_PMM_I;PGM_PMM_II;PGM_PMM_III;PGM_PMM_IV	PF00408.25;PF02878.21;PF02879.21;PF02880.21		Pfam_support;DRAMV_record;PHROG_record	YÜKSEK_DOĞRULANMIŞ	hallmark	viral_like	MODERATE_QUERY_POCKET_CONSERVATION;PDB_REFERENCE_AVAILABLE	MODERATE_PDB_REFERENCE_LIGAND_SCAN_NEEDED	R09_OR_R11_PENDING	Moderate pocket conservation with PDB reference; ligand scan may identify biological or non-biological HETATM context.	PDB_LIGAND_CONTACT_SCAN	NO		MODERATE_REVIEW_NO_LIGAND_CONTACT	MEDIUM	Moderate/partial pocket support exists, but no ligand/contact support was detected.				Keep as moderate; do not claim ligand-supported functional pocket.	MODERATE_REVIEW_NO_LIGAND_CONTACT	MEDIUM	AUTO_CLASS_ONLY	No additional refinement module applied.
T1P031	Arginase	WEAK_OR_NEGATIVE_POCKET_SUPPORT	LOW	9fek-assembly1_D	PDB_TOP1_MODERATE	PDB_CHAIN_SPECIFIC	8x3g-assembly1_B	AF-Q9KBE3-F1-model_v6	0.744	1.574	19	11	0	0	0.0	0.0	9	10	87.21	Arginase	PF00491.26		Pfam_support;DRAMV_record	YÜKSEK_DOĞRULANMIŞ	hallmark	viral_uncharacterized	ZERO_POCKET_CONSERVATION;LOW_QUERY_POCKET_CONSERVATION;PDB_REFERENCE_AVAILABLE	WEAK_OR_NEGATIVE_POCKET_SUPPORT	R02	Query/reference pocket conservation is zero; annotation or fold support does not translate into pocket-level support.	NO_LIGAND_UPGRADE_ALLOWED	NO		WEAK_OR_NEGATIVE_POCKET_SUPPORT	LOW	Pocket conservation is zero or functionally unsupported; ligand upgrade is not allowed.				Do not claim functional pocket, ligand, cofactor, active-site, or metal-center support.	WEAK_OR_NEGATIVE_POCKET_SUPPORT	LOW	AUTO_CLASS_ONLY	No additional refinement module applied.
T1P032	Arginase	WEAK_OR_NEGATIVE_POCKET_SUPPORT	LOW	9fek-assembly1_D	PDB_TOP1_MODERATE	PDB_CHAIN_SPECIFIC	8x3g-assembly1_B	AF-Q9KBE3-F1-model_v6	0.744	1.574	19	11	0	0	0.0	0.0	9	10	87.21	Arginase	PF00491.26		Pfam_support;DRAMV_record	YÜKSEK_DOĞRULANMIŞ	viral_uncharacterized	hallmark	ZERO_POCKET_CONSERVATION;LOW_QUERY_POCKET_CONSERVATION;PDB_REFERENCE_AVAILABLE	WEAK_OR_NEGATIVE_POCKET_SUPPORT	R02	Query/reference pocket conservation is zero; annotation or fold support does not translate into pocket-level support.	NO_LIGAND_UPGRADE_ALLOWED	NO		WEAK_OR_NEGATIVE_POCKET_SUPPORT	LOW	Pocket conservation is zero or functionally unsupported; ligand upgrade is not allowed.				Do not claim functional pocket, ligand, cofactor, active-site, or metal-center support.	WEAK_OR_NEGATIVE_POCKET_SUPPORT	LOW	AUTO_CLASS_ONLY	No additional refinement module applied.
